episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
610,-26.306421128412502,0.005912264309832693,-4.526412363670737,6.509346143568456e-06,-4.526412363670737,6.509346143568456e-06,20616,0.9952739293093469,0.004726070690653083,610000,26.17886181626385,-31.6978309581143,"[[0.206,0.532,0.262],[0.261,0.397,0.342]]"
620,-26.028283345987795,0.005802251658578485,-4.473253298063809,6.861173467439594e-06,-4.473253298063809,6.861173467439594e-06,20979,0.9952613915654036,0.00473860843459641,620000,25.907447024936932,-3.353235467074007e-11,"[[0.206,0.534,0.26],[0.261,0.397,0.342]]"
630,-25.76133385037201,0.005711528540666028,-4.422475743220488,6.786363224788662e-06,-4.422475743220488,6.786363224788662e-06,21336,0.995324468694884,0.004675531305115956,630000,25.642479119769533,-8.563920135519076,"[[5.906e-04,2.620e-02,9.732e-01],[7.812e-01,1.334e-01,8.541e-02]]"
640,-25.503321499257833,0.0056181244098466535,-4.377204995576832,6.500349980445762e-06,-4.377204995576832,6.500349980445762e-06,21693,0.9956312234337983,0.0043687765662016945,640000,25.392080737958146,-1.1445869337023711e-07,"[[3.281e-04,1.407e-01,8.589e-01],[2.411e-01,5.300e-01,2.289e-01]]"
650,-25.260883231443984,0.00554161053977765,-4.334559151541039,6.221295572755948e-06,-4.334559151541039,6.221295572755948e-06,22049,0.9955808469680496,0.004419153031950411,650000,25.155045978025136,-0.018899815945577624,"[[0.004,0.989,0.007],[0.076,0.399,0.526]]"
660,-25.026573248855602,0.005467765835893934,-4.287953943906637,5.970306413106792e-06,-4.287953943906637,5.970306413106792e-06,22410,0.9956303418660105,0.004369658133989444,660000,24.920601449133564,-4.177609369549056e-10,"[[0.006,0.18,0.814],[0.376,0.431,0.193]]"
670,-24.792774958645403,0.005380777607192526,-4.2398554707318175,5.708394063312613e-06,-4.2398554707318175,5.708394063312613e-06,22765,0.9958055377435766,0.004194462256423384,670000,24.68977424988731,-1.3642420526593913e-13,"[[8.644e-04,9.869e-01,1.222e-02],[2.274e-02,5.899e-01,3.874e-01]]"
680,-24.566728959700164,0.00528565607121072,-4.195913941615458,5.444775338320486e-06,-4.195913941615458,5.444775338320486e-06,23130,0.9956995657491008,0.004300434250899167,680000,24.46658685969306,-1.6383288836670383e-09,"[[0.016,0.971,0.013],[0.017,0.929,0.054]]"
690,-24.344729191538285,0.005199515455176248,-4.151588504921159,5.182851883324826e-06,-4.151588504921159,5.182851883324826e-06,23497,0.9957766947414649,0.004223305258535109,690000,24.24523662906837,-1.3786172203822407e-11,"[[6.081e-04,2.277e-02,9.766e-01],[7.601e-01,1.569e-01,8.303e-02]]"
700,-24.125286803204002,0.0051174536499181255,-4.107683906343868,4.966100270571966e-06,-4.107683906343868,4.966100270571966e-06,23856,0.9959483860664795,0.004051613933520535,700000,24.027895183165153,-20.75681408553412,"[[0.21,0.545,0.245],[0.264,0.395,0.341]]"
710,-23.91188281169821,0.005018729309297028,-4.066372956421024,4.824397179234302e-06,-4.066372956421024,4.824397179234302e-06,24219,0.9959391735974776,0.004060826402522381,710000,23.81836764545584,-227.4601482496088,"[[6.369e-04,2.234e-02,9.770e-01],[7.486e-01,1.677e-01,8.366e-02]]"
720,-23.707272463243566,0.004929984443377973,-4.025682727089505,4.745223775918516e-06,-4.025682727089505,4.745223775918516e-06,24583,0.9960287663661458,0.003971233633854233,720000,23.617306614405894,-0.5298017203502106,"[[0.003,0.106,0.89],[0.429,0.41,0.161]]"
730,-23.50870130428397,0.004846804686432811,-3.9834254820430863,4.6972096576167995e-06,-3.9834254820430863,4.6972096576167995e-06,24942,0.9960979949204605,0.003902005079539552,730000,23.420743097567826,-9.61026478849026e-08,"[[0.212,0.548,0.241],[0.264,0.394,0.341]]"
740,-23.316409288343824,0.004760387154328369,-3.9454563444797732,4.663403458612265e-06,-3.9454563444797732,4.663403458612265e-06,25300,0.9961609838080113,0.00383901619198865,740000,23.232586407830464,-1.6514309919555193e-09,"[[0.157,0.484,0.359],[0.303,0.389,0.308]]"
750,-23.13487705168408,0.004679015193542686,-3.9112150638581364,4.645520681614472e-06,-3.9112150638581364,4.645520681614472e-06,25658,0.9961488494183944,0.003851150581605578,750000,23.056942882704153,-28.21894063586748,"[[0.213,0.549,0.238],[0.264,0.394,0.341]]"
760,-22.966285291867614,0.004610185407401919,-3.879321125059722,4.627373110273124e-06,-3.879321125059722,4.627373110273124e-06,26017,0.9962273878162279,0.0037726121837720903,760000,22.894105723952222,-4.284572696633405e-13,"[[0.214,0.549,0.237],[0.264,0.394,0.342]]"
770,-22.810058823355185,0.00454613609717829,-3.847460403531373,4.625790360098572e-06,-3.847460403531373,4.625790360098572e-06,26385,0.9962650475007035,0.003734952499296489,770000,22.74282967452562,-0.07308200785970591,"[[0.214,0.55,0.237],[0.264,0.394,0.342]]"
780,-22.663835906325627,0.004480456918631024,-3.8156328945551867,4.617071027136223e-06,-3.8156328945551867,4.617071027136223e-06,26759,0.9958226062821726,0.004177393717827434,780000,22.600384290144454,-8.869479025139731e-07,"[[0.214,0.55,0.236],[0.264,0.393,0.342]]"
790,-22.524744706101576,0.004410504932922075,-3.7845579431836174,4.6146762679378735e-06,-3.7845579431836174,4.6146762679378735e-06,27138,0.9961863933463364,0.003813606653663584,790000,22.46356896948116,-7.762328524346943,"[[6.747e-01,3.250e-01,2.315e-04],[4.925e-02,6.847e-01,2.660e-01]]"
800,-22.390638448333466,0.004340899638832142,-3.7549479573408604,4.5988215122870595e-06,-3.7549479573408604,4.5988215122870595e-06,27511,0.996201672747228,0.0037983272527719308,800000,22.331695003268674,-0.022664983775340868,"[[0.215,0.55,0.234],[0.265,0.393,0.342]]"
810,-22.261917260368893,0.004274070967058367,-3.726643271269644,4.581567289573962e-06,-3.726643271269644,4.581567289573962e-06,27887,0.9962287613834732,0.0037712386165268826,810000,22.205736114102084,-7.117867666850764,"[[0.216,0.55,0.234],[0.265,0.393,0.342]]"
820,-22.138897780602882,0.004206490284021442,-3.6997642751906192,4.567882483229883e-06,-3.6997642751906192,4.567882483229883e-06,28259,0.996247499818489,0.0037525001815109722,820000,22.0847205451405,-11.776188652343258,"[[5.979e-04,9.906e-01,8.842e-03],[3.897e-02,5.532e-01,4.078e-01]]"
830,-22.01962541930858,0.004142758918329839,-3.67247582339267,4.5601493040677574e-06,-3.67247582339267,4.5601493040677574e-06,28632,0.9963428277500431,0.003657172249956852,830000,21.966760730586824,-1.9371218270469378e-05,"[[0.217,0.55,0.232],[0.266,0.392,0.342]]"
840,-21.90203286080532,0.0040832594232056915,-3.6440988721997907,4.536939409615601e-06,-3.6440988721997907,4.536939409615601e-06,29002,0.9963064420944733,0.003693557905526739,840000,21.849720108636188,-0.00040846603236429377,"[[0.218,0.55,0.232],[0.267,0.391,0.342]]"
850,-21.785876826608863,0.004015215474175974,-3.619197021335457,4.5360600902426965e-06,-3.619197021335457,4.5360600902426965e-06,29376,0.9963627825629133,0.003637217437086709,850000,21.733939435932896,-2.0294877454139577,"[[0.218,0.55,0.231],[0.267,0.391,0.342]]"
860,-21.671034401542308,0.003941622993823036,-3.592930359383111,4.528213867231821e-06,-3.592930359383111,4.528213867231821e-06,29745,0.9965237691094844,0.0034762308905156546,860000,21.619415960844883,-4.55690818412789e-11,"[[0.218,0.551,0.231],[0.267,0.391,0.342]]"
870,-21.555799053382323,0.003878201369043931,-3.569012423298934,4.497068313662658e-06,-3.569012423298934,4.497068313662658e-06,30123,0.9964652166878196,0.003534783312180352,870000,21.504055286998994,-8.69042070307397e-08,"[[0.219,0.551,0.23],[0.268,0.39,0.342]]"
880,-21.442017430205645,0.003815544851517901,-3.543784156192627,4.481610200468607e-06,-3.543784156192627,4.481610200468607e-06,30497,0.9965371640545924,0.003462835945407688,880000,21.3921569702188,-1.7097015359017008e-09,"[[0.219,0.551,0.23],[0.268,0.39,0.342]]"
