episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
310,-21.782840234043963,0.0046973640921073685,-4.127545868481349,8.088425594677663e-06,-4.127545868481349,8.088425594677663e-06,6184,0.9879380715152817,0.012061928484718269,310000,21.483164281381182,-0.9367202900509743,"[[0.576,0.424],[0.463,0.537]]"
320,-21.160992268660646,0.004561956772522462,-4.05913649856621,7.90614163686219e-06,-4.05913649856621,7.90614163686219e-06,6386,0.9885703517310137,0.01142964826898631,320000,20.913346079379554,-28.83507740402497,"[[0.578,0.422],[0.462,0.538]]"
330,-20.636825162547296,0.004441674521708589,-3.997867737461855,7.711980040233969e-06,-3.997867737461855,7.711980040233969e-06,6592,0.9885141434267037,0.011485856573296292,330000,20.420738851191494,-0.1204129493415703,"[[0.579,0.421],[0.46,0.54]]"
340,-20.17544473944849,0.004329758596584151,-3.9442298939332736,7.541089026584941e-06,-3.9442298939332736,7.541089026584941e-06,6796,0.9890732012797976,0.010926798720202408,340000,19.97898478724552,-3.7303493627405275e-13,"[[0.907,0.093],[0.199,0.801]]"
350,-19.745338432382802,0.004220654874060603,-3.894275431501049,7.4277174018663775e-06,-3.894275431501049,7.4277174018663775e-06,7000,0.989432554620872,0.010567445379128022,350000,19.558353924327825,-5.2715885498547514,"[[0.977,0.023],[0.099,0.901]]"
360,-19.339108334826157,0.004112030392927371,-3.8443067849266868,7.289925944130416e-06,-3.8443067849266868,7.289925944130416e-06,7206,0.9897303405638467,0.010269659436153267,360000,19.162587131020928,0.0,"[[0.586,0.414],[0.455,0.545]]"
370,-18.95066675873732,0.00400720499403976,-3.7936077198769786,7.067623911396651e-06,-3.7936077198769786,7.067623911396651e-06,7413,0.9897596747101707,0.010240325289829337,370000,18.777546349522257,-160.2755165212854,"[[0.434,0.566],[0.781,0.219]]"
380,-18.56254785190971,0.003912575506875487,-3.743954452884713,6.853143533765665e-06,-3.743954452884713,6.853143533765665e-06,7618,0.9903120675716768,0.009687932428323241,380000,18.384090749343116,-14.83236799651787,"[[0.592,0.408],[0.45,0.55]]"
390,-18.144058662576686,0.0038231306631353297,-3.696557726365164,6.767135307603659e-06,-3.696557726365164,6.767135307603659e-06,7825,0.9905256070267442,0.009474392973255797,390000,17.938526525800352,-35.39908919131031,"[[0.86,0.14],[0.057,0.943]]"
400,-17.720374849973762,0.0037390351004805153,-3.6529080886787226,6.6475803410780814e-06,-3.6529080886787226,6.6475803410780814e-06,8031,0.9906527017328145,0.009347298267185552,400000,17.545124508714917,-20.919938648895304,"[[0.702,0.298],[0.529,0.471]]"
410,-17.337483739618214,0.003654273633509663,-3.6067897737334746,6.449841853359132e-06,-3.6067897737334746,6.449841853359132e-06,8239,0.9910214409193706,0.008978559080629443,410000,17.17063322355459,-67.6806709195411,"[[0.968,0.032],[0.099,0.901]]"
420,-16.971120173197882,0.003568806499312021,-3.5614587402264313,6.273759697088702e-06,-3.5614587402264313,6.273759697088702e-06,8448,0.9912360021514197,0.008763997848580271,420000,16.80986870691689,-3.126388037344442e-14,"[[0.603,0.397],[0.438,0.562]]"
430,-16.62126220676463,0.0034832458234712307,-3.5155387450509834,6.127156965399714e-06,-3.5155387450509834,6.127156965399714e-06,8658,0.9912919975338452,0.008708002466154769,430000,16.466801008986128,-29.182539054570015,"[[0.596,0.404],[0.453,0.547]]"
440,-16.27827681240357,0.0033947593306339154,-3.470111463932595,5.996221734808705e-06,-3.470111463932595,5.996221734808705e-06,8866,0.9916806604839863,0.008319339516013734,440000,16.12370937092878,-0.40035761849599727,"[[0.608,0.392],[0.433,0.567]]"
450,-15.932173483561192,0.0033082858595649446,-3.4264280454310287,5.842181004057215e-06,-3.4264280454310287,5.842181004057215e-06,9076,0.9917948387328498,0.008205161267150167,450000,15.773290472360777,-5.944774103628757e-07,"[[0.601,0.399],[0.428,0.572]]"
460,-15.57112020165622,0.003230222204477342,-3.3816774519122608,5.640464676870593e-06,-3.3816774519122608,5.640464676870593e-06,9288,0.9919186850978974,0.008081314902102668,460000,15.407192904692876,-4.1211478674085784e-14,"[[0.613,0.387],[0.426,0.574]]"
470,-15.223708354357791,0.003160869698310384,-3.3402843987090556,5.532331826864362e-06,-3.3402843987090556,5.532331826864362e-06,9499,0.9921673850407501,0.007832614959249966,470000,15.074368351389188,-0.39829457954217684,"[[0.616,0.384],[0.423,0.577]]"
480,-14.896080814442268,0.003091843715183381,-3.3034618081003075,5.512381283931152e-06,-3.3034618081003075,5.512381283931152e-06,9709,0.9923802733418623,0.007619726658137681,480000,14.752633266868843,-28.814217427636194,"[[0.922,0.078],[0.166,0.834]]"
490,-14.584094540523528,0.003020284014806863,-3.264010480034256,5.445121082831983e-06,-3.264010480034256,5.445121082831983e-06,9920,0.992439916763849,0.007560083236150958,490000,14.448142142772232,-1.209838499796262e-05,"[[0.622,0.378],[0.418,0.582]]"
500,-14.283142372017455,0.002946419477058213,-3.217822166630993,5.29171153525904e-06,-3.217822166630993,5.29171153525904e-06,10129,0.9926748596054611,0.007325140394538875,500000,14.146016697756592,-12.74289038057861,"[[0.624,0.376],[0.417,0.583]]"
510,-13.975615579567835,0.0028805810020851898,-3.1768681881878797,5.127406812191851e-06,-3.1768681881878797,5.127406812191851e-06,10342,0.9928540842003216,0.007145915799678436,510000,13.842550078009292,-3.625928729098591,"[[0.625,0.375],[0.415,0.585]]"
520,-13.680752768242058,0.002816334647370037,-3.1349746035427226,5.135899963285807e-06,-3.1349746035427226,5.135899963285807e-06,10555,0.9928072011367085,0.007192798863291497,520000,13.550538328579051,-2.309263891220324e-13,"[[0.625,0.375],[0.415,0.585]]"
530,-13.388414959191735,0.0027403250934720093,-3.0956974924804173,5.102266721717452e-06,-3.0956974924804173,5.102266721717452e-06,10766,0.9929827441053873,0.007017255894612645,530000,13.25988595177299,-17.239773734231207,"[[0.97,0.03],[0.01,0.99]]"
540,-13.111232785071323,0.002656135259691391,-3.05407965295437,4.979204603501082e-06,-3.05407965295437,4.979204603501082e-06,10977,0.9933035378114463,0.006696462188553642,540000,12.98983493505523,-1.2549095205711014e-05,"[[0.962,0.038],[0.06,0.94]]"
550,-12.848034776486283,0.0025726767105872777,-3.0136316462211474,4.994275381098541e-06,-3.0136316462211474,4.994275381098541e-06,11190,0.9932206788817783,0.006779321118221607,550000,12.737772361787725,-6.79398337588764e-10,"[[0.953,0.047],[0.034,0.966]]"
560,-12.584485449340153,0.002488494663410102,-2.9541114154928914,5.086133176066322e-06,-2.9541114154928914,5.086133176066322e-06,11400,0.9934552229304633,0.006544777069536718,560000,12.471197617166613,-8.242295734817156e-14,"[[0.63,0.37],[0.413,0.587]]"
570,-12.337722730928425,0.002390608131524373,-2.903792287138082,4.899945700331146e-06,-2.903792287138082,4.899945700331146e-06,11610,0.9936109656328236,0.0063890343671763935,570000,12.22807055675407,0.0,"[[0.301,0.699],[0.778,0.222]]"
580,-12.10185279557058,0.0022999888751492467,-2.8377898846088585,4.972504208206394e-06,-2.8377898846088585,4.972504208206394e-06,11824,0.9935744829271695,0.0064255170728304565,580000,11.986804033911532,-29.307153749449895,"[[0.631,0.369],[0.414,0.586]]"
590,-11.875360898907974,0.002226820702567725,-2.7817864270184907,4.807245387116137e-06,-2.7817864270184907,4.807245387116137e-06,12034,0.9938445964563561,0.006155403543643818,590000,11.764724910280187,-2.8767144222285807e-11,"[[0.635,0.365],[0.421,0.579]]"
600,-11.62469041662413,0.0021163550233893958,-2.7476322473098853,4.54493727842415e-06,-2.7476322473098853,4.54493727842415e-06,12251,0.993933382968489,0.006066617031510958,600000,11.516724429379343,-6.548395603545845e-10,"[[0.63,0.37],[0.411,0.589]]"
610,-11.411056710251392,0.00206188789892323,-2.7021302181774742,4.583978495518159e-06,-2.7021302181774742,4.583978495518159e-06,12469,0.9937463348772002,0.006253665122799792,610000,11.313158882737213,-36.22252353641194,"[[0.585,0.415],[0.567,0.433]]"
620,-11.194421194781672,0.002034704802455953,-2.6441727828394384,4.661724172313864e-06,-2.6441727828394384,4.661724172313864e-06,12681,0.9942141592283393,0.005785840771660688,620000,11.091359546157413,-35.52923365691604,"[[0.977,0.023],[0.04,0.96]]"
630,-11.27488083722697,0.0022441007642489716,-2.6342119971493676,6.5035310749238965e-06,-2.6342119971493676,6.5035310749238965e-06,12898,0.9942314370653718,0.005768562934628249,630000,11.396842479519862,-3.002857388682039e-06,"[[0.995,0.005],[0.032,0.968]]"
